path,folder,name,ext,size_bytes,size_human,mtime,flags,peek
fig_B_raw_eeg_pelt.py,.,fig_B_raw_eeg_pelt.py,.py,12707,12.4KB,2026-06-15 14:21,,"#!/usr/bin/env python3 | """""" | fig_B_raw_eeg_pelt.py | Preprocessed EEG with PELT Change Point — All 8 Test Subjects |  | For each subject: stacked 18-channel preprocessed EEG (z-scored, bandpass-filtered) | around the first detected True-Positive seizure. |   - Red dashed line : clinical seizure onset (annotation, x = 0 s)"
mag_pen_grid_sweep_v2.py,.,mag_pen_grid_sweep_v2.py,.py,14390,14.1KB,2026-07-26 00:20,v2,""""""" | ================================================================================ |  mag_pen_grid_sweep_v2.py  —  CORRECTED re-run of the mag% x pen Pareto grid | ================================================================================ | WHY THIS FILE (v2) EXISTS | -------------------------- | The original mag_pen_grid_sweep.py (written in an earlier chat session, not | preserved in project knowledge) produced Decision #16's numbers (mag60/pen1.0"
README.md,.,README.md,.md,4939,4.8KB,2026-07-26 00:43,,"# `src/` — code map |  | Every script here runs from the **repo root** as `python src/<name>.py` (flat layout so the | mutually-importing modules resolve each other; relative `data/` and `results/` paths resolve | against the root working directory). Sub-packages: `src/dataprep/` (upstream data prep, produces | the cached Kaggle inputs), `src/fp_reduction_prior/` (CUSUM/EMA prior-art for the #23 FP filter). |  | Authoritative numbers live in `docs/RESULTS_OF_RECORD.md`; provenance in `docs/PROVENANCE_MAP.md`."
rebuild_ensemble_new_weight.py,.,rebuild_ensemble_new_weight.py,.py,12806,12.5KB,2026-07-26 00:20,,""""""" | ================================================================================ |  rebuild_ensemble_new_weight.py  —  official Phase-A numbers on the NEW |                                      locked ensemble weight (Decision #19) | ================================================================================ | WHY THIS FILE | ------------- | Decision #19 (2026-07/08): the ensemble weight was changed from the original"
stat_validation.py,.,stat_validation.py,.py,7479,7.3KB,2026-07-26 00:20,,""""""" | ================================================================================ |  stat_validation.py  —  WEEK 5: statistical validation of locked event results | ================================================================================ |  | Adds confidence intervals to the locked SzCORE event-level results so the | reported numbers carry uncertainty, as required for a credible (Q2/Q3) write-up. | Operates on the per-subject CSVs produced by szcore_eval.py at the chosen"
szcore_eval.py,.,szcore_eval.py,.py,20687,20.2KB,2026-07-26 00:20,,""""""" | ================================================================================ |  szcore_eval.py  —  WEEK 2: SzCORE-exact event scoring + seed-independent penalty | ================================================================================ |  | WHY THIS FILE | ------------- | Two things from the diagnosis must change before we trust the event-level story:"
thesis_repro_lock.py,.,thesis_repro_lock.py,.py,4522,4.4KB,2026-07-26 00:20,,"#!/usr/bin/env python3 | """""" | thesis_repro_lock.py -- Reproduce the TWO locked operating points end-to-end on THIS | machine, via the authoritative component path (ensemble_recipe.build_ensemble under the | Decision #19 weight). It NEVER reads any *_ens_*.npy cache. Writes nothing but stdout. |  | Run from the repo root:   python thesis_repro_lock.py | If summaries/components aren't auto-found:"
visualize_channel_attribution.py,.,visualize_channel_attribution.py,.py,13664,13.3KB,2026-07-26 00:20,,""""""" | ================================================================================ |  visualize_channel_attribution.py | ================================================================================ | WHY THIS FILE EXISTS | --------------------- | Phase B's channel-attribution result (RESULTS_OF_RECORD.md SS7) has a single | authoritative numeric output: `attribution_pernode_profile.csv`, produced by"
visualize_chb06_inversion.py,.,visualize_chb06_inversion.py,.py,13609,13.3KB,2026-07-26 00:20,,""""""" | ================================================================================ |  visualize_chb06_inversion.py | ================================================================================ | WHY THIS FILE EXISTS | --------------------- | ""Inverted connectivity"" for chb06 has been a text-only claim across every | document (med_z_ictal negative, AUROC 0.44 near chance, event sens 2-4/10)."
weight_candidate_crosscheck.py,.,weight_candidate_crosscheck.py,.py,12050,11.8KB,2026-07-26 00:20,,""""""" | ================================================================================ |  weight_candidate_crosscheck.py  —  cand_1 across BOTH operating points + |                                      per-subject breakdown (esp. chb06) | ================================================================================ | WHY THIS FILE | ------------- | weight_sensitivity_sweep.py (wide radius=0.30, 127 points) + weight_seed_"
weight_seed_robustness_check.py,.,weight_seed_robustness_check.py,.py,13337,13.0KB,2026-07-26 00:20,,""""""" | ================================================================================ |  weight_seed_robustness_check.py  —  is the weight-grid signal real, or seed-0 |                                       noise? | ================================================================================ | WHY THIS FILE | ------------- | weight_sensitivity_sweep.py (single seed=0) found 5 weight points in a local"
weight_sensitivity_sweep.py,.,weight_sensitivity_sweep.py,.py,16855,16.5KB,2026-07-26 00:20,,""""""" | ================================================================================ |  weight_sensitivity_sweep.py  —  ensemble-weight sensitivity check (VERIFICATION, |                                   not re-tuning) | ================================================================================ | WHY THIS FILE | ------------- | The locked ensemble weights (w_recon=0.35, w_temp=0.30, w_gamma=0.35) were"
window_event_gap.py,.,window_event_gap.py,.py,3326,3.2KB,2026-07-26 00:20,,""""""" | window_event_gap.py  (Phase B / Week 6)  — REPRO of the window<->event gap table. | Reads the locked eval_window_level.csv + szcore_event_level_mag60.csv (pen 1.0), | joins per subject, computes the gap, macro summaries, and the structural-failure | subset (excluding chb06 inverted + chb16 brief). Writes results/phaseB/window_event_gap.csv. |  | USAGE:  python window_event_gap.py --window eval_window_level.csv \ |             --event szcore_event_level_mag60.csv --outdir results/phaseB"
window_tier_newweight.py,.,window_tier_newweight.py,.py,6183,6.0KB,2026-07-26 00:20,,""""""" | window_tier_newweight.py — recompute the WINDOW / SAMPLE tier (RESULTS_OF_RECORD §2) | and the ensemble window-AUROC of §8.1 under the Decision #19 weight (0.40, 0.35, 0.25). |  | WHY: §2 (macro AUROC ~0.80) and §8.1's ensemble AUROC (0.796) were computed on the | OLD-weight ens cache and were never regenerated during the weight change (Decisions | #19/#20 touched the event tier only). Window AUROC = AUROC of the ensemble score, which | IS weight-dependent. This script rebuilds the ensemble from components with the new"
dataprep/apply_topk_multiband.py,dataprep,apply_topk_multiband.py,.py,3958,3.9KB,2026-07-26 00:20,,""""""" | apply_topk_multiband.py | ======================= | Apply top-k% thresholding to *_adjs_multiband.npy files. | Produces *_adjs_multiband_topk20.npy files. |  | Usage: |     python apply_topk_multiband.py"
dataprep/build_graphs.py,dataprep,build_graphs.py,.py,10252,10.0KB,2026-07-26 00:20,,""""""" | build_graphs.py | =============== | Compute adjacency matrices (wPLI + AEC combined) from preprocessed EEG windows. | Run once after preprocessing.py completes and before train_pipeline.py. |  | For each subject, reads: |   {subject_id}_interictal.npy   shape [N, 18, 1024]"
dataprep/build_topk_from_dense.py,dataprep,build_topk_from_dense.py,.py,6960,6.8KB,2026-07-26 00:20,,""""""" | build_topk_from_dense.py | ======================== | Apply top-k% threshold post-hoc to existing dense adjacency matrices. |  | WHY THIS SCRIPT EXISTS (not build_graphs.py): |   Raw preprocessed windows (*_interictal.npy, *_ictal.npy) were deleted |   in v6 cleanup to reclaim disk space (~30 GB). build_graphs.py reads"
dataprep/compute_gamma_aec.py,dataprep,compute_gamma_aec.py,.py,4974,4.9KB,2026-07-26 00:20,,"# src/compute_gamma_aec.py | """""" | P2.2: Compute gamma AEC (30-60 Hz) anomaly scores for all subjects. |  | Gamma band amplitude envelope correlation increases during seizures in 7/8 | subjects including chb06 (where wPLI/AEC reconstruction is inverted). | HFO-related gamma amplitude coupling provides complementary signal to phase- | based connectivity."
dataprep/create_splits.py,dataprep,create_splits.py,.py,2426,2.4KB,2026-07-26 00:20,,""""""" | create_splits.py | ================ | Generate a single fixed 15-train / 8-test subject split for E_main. |  | Rules (proposed_solution_updated.md §I): |   - 23 subjects total: chb01 through chb23 |   - 15 randomly selected for training (interictal windows only)"
dataprep/feature_extraction.py,dataprep,feature_extraction.py,.py,3041,3.0KB,2026-07-26 00:20,,""""""" | feature_extraction.py | ===================== | Compute 5 spectral band powers per channel for each 4s window. | Output shape: [N_windows, 18, 5] | Bands: Delta (0.5–4), Theta (4–8), Alpha (8–13), Beta (13–30), Gamma (30–60) | """""" | "
dataprep/graph_construction.py,dataprep,graph_construction.py,.py,15427,15.1KB,2026-07-26 00:20,,""""""" | graph_construction.py | ===================== | Graph construction pipeline for one 4s EEG window. | CAR applied before connectivity computation. |  | Equations implemented (thesis §2.2): |   Eq (2): wPLI_xy = |mean(imag(C_xy))| / mean(|imag(C_xy)|)"
dataprep/preprocessing.py,dataprep,preprocessing.py,.py,20881,20.4KB,2026-07-26 00:20,,""""""" | preprocessing.py | ================ | CHB-MIT EEG preprocessing pipeline — aligned with thesis_plan_final.md §3. |  | Pipeline (6 steps, mandatory order): |   Step 1: Bandpass filter 0.5–60 Hz (Butterworth 4th order, zero-phase) |   Step 2: Notch filter 60 Hz (IIR notch, Q=30, zero-phase)"
dataprep/verify_preprocessing.py,dataprep,verify_preprocessing.py,.py,3910,3.8KB,2026-07-26 00:20,,""""""" | verify_preprocessing.py | ======================= | Kiểm tra output của preprocessing.py cho tất cả 23 subjects. | Chạy: python verify_preprocessing.py |  | Checks: |   1. Cả 2 file (_interictal.npy, _ictal.npy) tồn tại"
fp_reduction_prior/fp_filter_step2b_duration_diag.py,fp_reduction_prior,fp_filter_step2b_duration_diag.py,.py,12844,12.5KB,2026-07-26 15:18,,"#!/usr/bin/env python3 | """"""fp_filter_step2b_duration_diag.py -- #23 STEP 2 EXTENSION. Widens the CUSUM-persistence | P sweep down into the lenient region (Step 2 only tested P in [80,97.5], where 18/57 seizures | were already lost at the mildest point) and adds two diagnostics needed to interpret ANY | verdict correctly: |  |   1. Per-subject TP/FP breakdown at EVERY swept P (Step 2 only printed chb06). Needed because |      a pooled ""sz_lost<=2"" pass could still hide a subject-specific collapse."
fp_reduction_prior/fp_filter_step2c_fine_cliff.py,fp_reduction_prior,fp_filter_step2c_fine_cliff.py,.py,10768,10.5KB,2026-07-26 15:29,,"#!/usr/bin/env python3 | """"""fp_filter_step2c_fine_cliff.py -- #23 STEP 2 FINAL REFINEMENT. Step 2b's grid jumped from | P=30 (0 seizures lost, FP/day -8.5%) straight to P=40 (7 seizures lost, FP/day -30.2%) -- a | 10-point gap, wider than any other step in that sweep. The pre-registered kill criterion | (>=20% FP/day cut at <=2 seizures lost) could plausibly be satisfied somewhere INSIDE that | unobserved gap. This script does nothing new methodologically -- same filter, same kill | criteria, same per-subject/chb06/duration diagnostics as Step 2b -- it only increases the | resolution of the P grid exactly where the decision boundary lives (P in [28,42], step 1),"
fp_reduction_prior/fp_filter_step2_cusum.py,fp_reduction_prior,fp_filter_step2_cusum.py,.py,5312,5.2KB,2026-07-26 01:16,,"#!/usr/bin/env python3 | """"""fp_filter_step2_cusum.py -- #23 STEP 2. Label-free CUSUM persistence post-filter, measured at | the SEIZURE level via the authoritative timescoring path, at the locked balanced point (mag60/pen1.0). |  | Filter: for each detected change-point c, persistence(c) = max CUSUM of the smoothed ensemble z over | [c, c+POST], with allowance k = per-subject interictal 75th-pct (label-free). Keep c iff | persistence(c) >= h, where h = P-th percentile of persistence over INTERICTAL cps (same calibration | philosophy as the locked magnitude filter). P is the single GLOBAL knob (swept). The filter drops"
fp_reduction_prior/efix/cusum.py,fp_reduction_prior/efix,cusum.py,.py,4423,4.3KB,2026-07-26 00:20,,""""""" | CUSUM post-processing for seizure detection anomaly scores. |  | Reduces FDR/h by requiring sustained elevation above threshold | rather than single-window exceedance. |  | Key insight: artifacts are transient (1-2 windows), seizures are sustained | (typically 3-30+ windows). CUSUM accumulates evidence and resets"
fp_reduction_prior/efix_v2/session_norm.py,fp_reduction_prior/efix_v2,session_norm.py,.py,8136,7.9KB,2026-07-26 00:20,,""""""" | session_norm.py | =============== | Per-session z-normalization for subjects with multiple recording sessions. |  | Problem: Standard per-subject z-norm mixes windows from different recording | sessions (different days/weeks) that may have different EEG baselines. For | subjects like chb17 (sessions 17a, 17b, 17c recorded on different dates),"
fp_reduction_prior/efix_v2/smoothing.py,fp_reduction_prior/efix_v2,smoothing.py,.py,3414,3.3KB,2026-07-26 00:20,,""""""" | smoothing.py | ============ | Exponential Moving Average (EMA) smoothing of anomaly scores. |  | Motivation: |   FDR/h = 27.9 is high because z-norm threshold tau_z=1.48 flags ~2.3% of |   interictal windows. Many of these are isolated transient spikes (artifacts,"
fp_reduction_prior/efix_v2/topology.py,fp_reduction_prior/efix_v2,topology.py,.py,4412,4.3KB,2026-07-26 00:20,,""""""" | topology.py | =========== | Graph spectral anomaly scoring for EEG connectivity matrices. |  | Four features per window: |   1. Spectral radius   λ_max = max|eigenvalue(A)| |      - Measures dominant connectivity strength; changes when hub nodes shift"
retrain/aggregate_final.py,retrain,aggregate_final.py,.py,9868,9.6KB,2026-08-05 11:35,,""""""" | aggregate_final.py — gather per-seed raw grids -> Pareto frontier, option-A | operating points, 95% CIs, and 5-seed mean+/-SD. Runs on Cursor (CPU only; no | torch / torch_geometric / timescoring needed — the heavy GPU work is already | baked into the final_eval_seed*.csv files). |  | Two modes, chosen automatically by what CSVs are present: | "
retrain/build_ens.py,retrain,build_ens.py,.py,4750,4.6KB,2026-08-06 14:22,,""""""" | build_ens.py — KAGGLE GPU ONLY. The fast half of the pipeline. |  | For each model seed and each of the 8 TEST subjects, build robust-z components | (GAE recon + LSTM temporal + gamma), form the weighted ensemble, and SAVE the | two ensemble score arrays: |     ens_seed{S}_{subj}_inter.npy , ens_seed{S}_{subj}_ictal.npy | plus per-subject window AUROC in window_auroc_seed{S}.json."
retrain/build_seed_ensemble.py,retrain,build_seed_ensemble.py,.py,3845,3.8KB,2026-08-06 14:23,,""""""" | build_seed_ensemble.py — CURSOR CPU. Deep seed-ensemble (variance reduction). |  | Averages the per-seed ensemble score arrays (ens_seed{k}_{subj}_{split}.npy) over | all training seeds into a single, more stable production signal, saved under a new | seed tag (default 99). Then score_ens.py --seed 99 runs the normal CPD grid on it | and aggregate_final.py produces its headline exactly like any seed. | "
retrain/derive_weights.py,retrain,derive_weights.py,.py,11489,11.2KB,2026-08-09 10:20,,""""""" | derive_weights.py — PREREG_03 §2: derive ensemble weights on NON-TEST data. |  | WHAT IT DOES (non-test only; the 8 test subjects are NEVER touched here) |   1. Builds robust-z components (zrecon/ztemp/zgamma) for the 3 VAL subjects |      (chb10,11,22) and the 12 TRAIN subjects, using the ADOPTED canonical |      seed-42 GAE + seed-42 LSTM (Gate R-GAE / R-LSTM PASS). |   2. Sweeps the full weight simplex (wr+wt+wg=1, step 0.05) maximising VAL macro"
retrain/eval_local.py,retrain,eval_local.py,.py,3223,3.1KB,2026-08-13 09:36,,""""""" | eval_local.py — LOCAL CPU, no timeout, full log. Runs the FULL mag x pen grid + Pareto frontier + | option-A operating points + Wilson/Poisson CIs for seed-42, reading the pre-dumped components | (zrecon/ztemp/zgamma) from disk. NO GPU: the GAE/LSTM forward pass was already done on Kaggle | (dump_components.py); only the CPD grid (pure CPU) runs here. |  | Reuses final_eval.report() unchanged -> identical frontier/option-A/CI logic and CSV outputs as the | Kaggle path, so this is the same evaluation, just offline."
retrain/final_eval.py,retrain,final_eval.py,.py,21377,20.9KB,2026-08-04 16:25,,""""""" | final_eval.py — PREREG_03 §3-4: ONE end-to-end evaluation on the 8 TEST subjects. |  | Given the weights derived on non-test (derive_weights.py -> derived_weights.json): |   1. For each model seed k in {42,1,2,3,4}: load GAE seed-k + LSTM seed-k, build |      robust-z components for the 8 test subjects, form the weighted ensemble |      (single-source ensemble_recipe), run the full mag% x pen grid through the |      single-source detector (cpd_pipeline_v14 via szcore_eval.evaluate_subject),"
retrain/fp_budget_operating_point.py,retrain,fp_budget_operating_point.py,.py,12938,12.6KB,2026-08-06 14:22,,""""""" | fp_budget_operating_point.py — PREREG_04 (PHA 1.5, step a). Cursor CPU, no GPU. |  | Per-subject operating point chosen to hit a pre-specified SzCORE false-alarm | budget B (FP/day) on each subject's INTERICTAL (seizure-free) data. Selection uses | ONLY interictal FP/day; the tie-break is forbidden from using sensitivity. Model is | unchanged and patient-independent; this only calibrates the decision threshold | per patient on baseline data (standard clinical practice)."
retrain/gae_gate_report.py,retrain,gae_gate_report.py,.py,6204,6.1KB,2026-08-01 23:20,,""""""" | gae_gate_report.py — Gate R-GAE evaluation (PHA 1, step 1 acceptance). |  | For every retrained checkpoint (gae_joint_seed*.pt in --ckpt_dir), score all 8 TEST subjects' | interictal + ictal windows with the VERIFIED joint scorer, compute per-subject recon AUROC, | aggregate mean±SD across seeds, and evaluate the pre-registered acceptance gates G1–G4. |  | Per-subject recon AUROC is rank-based, so it is invariant to the downstream robust-z"
retrain/gae_joint.py,retrain,gae_joint.py,.py,8314,8.1KB,2026-08-01 23:21,,""""""" | gae_joint.py — Reconstructed joint-GAE model class + verified scoring. |  | PURPOSE (PHA 1, code artifact #1): reconstruct the joint-GAE architecture as a clean, | importable module and PROVE it is byte-compatible with the retained checkpoint | `best_model_joint_lambda01.pt` BEFORE any training code is written. If this module loads | the checkpoint with strict=True and reproduces the chb13 sanity AUROC (~0.836), the class | is correct and the only remaining unknown is the training loop."
retrain/lstm_forensic.py,retrain,lstm_forensic.py,.py,6585,6.4KB,2026-08-02 00:36,,""""""" | lstm_forensic.py — temporal-branch DESIGN validation (PREREG 02 §4 + R1). |  | Question this answers (on VAL subjects only, no test contact): |   (R1) Does the LSTM input work better as pooled-Z (18x16 -> 16) or flattened-Z (-> 288)? |   (L1) Does a predictive LSTM on the GAE latent sequence discriminate ictal from interictal |        on held-out VAL subjects (mean AUROC >= 0.60)? | "
retrain/lstm_gate_full.py,retrain,lstm_gate_full.py,.py,9740,9.5KB,2026-08-04 10:04,,""""""" | lstm_gate_full.py — COMPLETE Gate R-LSTM (PREREG_02 §5): L1 + L2 + L3 + L4 in ONE inference pass. | No retraining. Auto-discovers all inputs under /kaggle/input and TOLERATES Kaggle's dataset extraction | (checkpoints unpacked into directories) by re-zipping them back into loadable .pt on the fly. | """""" | import argparse, glob, os, re, csv, shutil, random | from pathlib import Path | import numpy as np"
retrain/lstm_temporal.py,retrain,lstm_temporal.py,.py,4651,4.5KB,2026-08-03 20:17,temp,""""""" | lstm_temporal.py — shared module for the redesigned temporal branch (PREREG_02, PHA 1 step 2). | Reuses the ADOPTED (Gate R-GAE PASS) gae_joint.py for Z extraction; nothing here touches decoding. | """""" | import numpy as np | import torch | import torch.nn as nn | from sklearn.metrics import roc_auc_score"
retrain/retrain_io.py,retrain,retrain_io.py,.py,12926,12.6KB,2026-08-04 07:18,,""""""" | retrain_io.py — shared I/O + pure-logic helpers for PREREG 03 (PHA 1, step 3). |  | Both derive_weights.py (non-test weight search) and final_eval.py (one test pass) | import from here so they assemble components with the IDENTICAL recipe and share | the same weight-grid / Pareto / operating-point rule. Nothing scientific is | re-implemented in the two callers. | "
retrain/score_ens.py,retrain,score_ens.py,.py,10940,10.7KB,2026-08-04 22:06,,""""""" | score_ens.py — CURSOR CPU. The slow half of the pipeline (no GPU). |  | Loads the ensemble arrays from build_ens.py and runs the CPD grid + SzCORE | scoring, writing final_eval_seed{S}.csv in the format aggregate_final expects. |  | FAST GRID (bit-identical to szcore_eval.evaluate_subject) | ---------------------------------------------------------"
retrain/train_gae_joint.py,retrain,train_gae_joint.py,.py,8427,8.2KB,2026-08-01 23:20,,""""""" | train_gae_joint.py — reconstructed training loop for the joint GAE (PHA 1, step 1). |  | Depends on gae_joint.py (the class validated byte-compatible with the retained checkpoint: | strict load OK, chb13 AUROC 0.8360, bias 0.8676). The ONLY new thing here is the training | loop; the model, input construction, and loss are the verified ones. |  | PRE-REGISTERED (PREREG 01): train on interictal windows of 12 TRAIN subjects, validate on"
retrain/train_lstm_temporal.py,retrain,train_lstm_temporal.py,.py,8463,8.3KB,2026-08-02 01:06,temp,""""""" | train_lstm_temporal.py — PRODUCTION temporal branch (PREREG 02, locked design). |  | Design (locked): predictive LSTM on FLATTENED GAE latent Z (288-D), context L=16, run over each | split-array as one chronological sequence (context-A), robust-z per subject. Trained on interictal of | the 12 TRAIN subjects; VAL = {chb10,chb11,chb22} for the gate; the 8 TEST subjects are scored (inference) | but never trained on. Multi-seed {42,1,2,3,4}; seed 42 canonical. | "
retrain/train_lstm_temporal_v3.py,retrain,train_lstm_temporal_v3.py,.py,6782,6.6KB,2026-08-12 19:46,"temp,v3",""""""" | train_lstm_temporal_v3.py — LSTM retrain, seed-42. SINGLE FIX: train/eval normalization consistency. |  | ROOT CAUSE (confirmed from src/retrain): the round-1 trainer trained on per-dim z-normalised flat-Z | (mu/sd fit on train-interictal) and NEVER persisted mu/sd, while every scorer (lstm_gate_full.py, | final_eval.py -> lstm_temporal.score_full_array) scores on RAW flat-Z. So the LSTM optimised a | different quantity (MSE on znorm'd Z) than the pipeline measures (MSE on raw Z) -> temporal branch | near-inert (complementarity ~ 0, seed-fragile at event level)."
retrain/window_event_gap_new.py,retrain,window_event_gap_new.py,.py,8146,8.0KB,2026-08-06 09:27,,""""""" | window_event_gap_new.py — DIAGNOSTIC (Cursor CPU, no GPU/torch). |  | Question: for the rebuilt deep-ensemble, where is event-sensitivity lost — | in the SIGNAL (window discrimination too weak) or in the shared patient-independent | OPERATING POINT (a subject is detectable, but the one grid point picked for | everyone is wrong for it)? | "
